goods_id,pub_user_id,goods_name,labels
7,81753,眉县猕猴桃,营养滋补|有机绿色
8,72860,海德力征服乳清蛋白6磅,健美瘦身|营养滋补
9,251,阿玛尼(EmporioArmani)满天星手表 钢制表带 圆形石英女士手表 AR1926,高端
10,208,变美神器,开学季|平价替代
11,81744,迪奥日月星辰手链,大牌|轻奢|定制
12,81753,乾县苹果🍎绿色无公害,有机绿色
13,72491,Vida Glow 经典原味深海鱼胶原蛋白粉90克30小包,女式|ins|明星同款
14,5355,Melrose麦萝氏纯天然椰子油  300克,时尚达人|网红产品|纯天然 
15,72491,Vida Glow 经典原味深海鱼胶原蛋白粉90克30小包,护肤达人|紧致抗衰老|明星同款
16,72491,Vida Glow 蓝莓味深海鱼胶原蛋白粉,明星同款|紧致抗衰老|护肤达人
17,72491,Vida Glow 蜜桃深海鱼胶原蛋白粉,纯天然|ins|明星同款
18,72491,Vida Glow 芒果深海鱼胶原蛋白粉,ins|大牌|紧致抗衰老
19,72491,Vida Glow 菠萝深海鱼胶原蛋白粉,紧致抗衰老|明星同款|护肤达人
20,5355,Vida glow澳洲深海鱼胶原蛋白粉 多口味可选,网红产品|七夕/情人节|营养滋补|呵护女性|ins
21,82621,张贝贝同款针织衫秋季新款女韩版简约百搭小香风毛衣女宽松外穿,网红产品|明星款|定制|小香风|ins
22,72491,melrose纯天然椰子油,厨神周边|ins|居家必备
23,72491,Melrose 绿植精萃粉全能绿瘦子,熬夜必备|有机绿色|进口
24,81753,眉县猕猴桃 🥝乾县苹果🍎,吃货
25,11326,我的小弟弟都不一样,运动|复古|定制
26,11326,电话号码给,原创|休闲
27,72491,Melrose /麦萝氏 绿瘦子 200g,有机绿色|进口|美容养颜
28,82449,雅赞六层纱枫林爬服睡袋,网红产品
29,82626,未完成,休闲
30,72491,Vida Glow 深海鱼胶原蛋白粉 90克30小包 多味可选,紧致抗衰老|护肤达人|明星同款
31,82594,阿玛尼AR11202左右眼,高端|轻奢|大牌
32,82555,乐力活性益生菌2g*20袋,呵护女性|养生达人|网红产品|健美瘦身|营养滋补
33,82449,雅赞六层纱枫林披肩,网红产品
34,72491,Melrose 麦萝氏纯天然椰子油,养生达人|ins|健美瘦身
35,82555,美宝莲眼唇卸妆液脸部温和清洁眼唇脸三合一卸妆水150ml,美妆达人|大牌|明星同款|约会
36,72491,eimele /亦餐全食低卡营养代餐粉 多味可选,健美瘦身|网红产品|ins
37,82624,SHUIBASHA 水芭莎逆龄多肽精华液,明星同款
38,82624,SHUIBASHA 水芭莎逆龄多肽精华液,明星同款
39,82629,全母大闸蟹12只礼盒装（顺丰包邮）,熬夜必备|吃货|网红产品|方便速食
40,82449,儿童绿色花漾家居服,网红产品
41,82449,绿色花漾家居服,备孕|辣妈|圣诞|七夕/情人节|旅行|网红产品
42,82631,PUGEE水光精华粉凝霜,美妆达人|敏感肌|保湿补水|纯天然|明星同款
43,82631,PUGEE水光精华粉凝霜,美妆达人|敏感肌|保湿补水|纯天然|明星同款
44,72860,奥钻束腰WAISTMEUP束腰,健美瘦身|七夕/情人节|约会|网红产品|呵护女性
45,82637,丝绒阔腿裤,甜美|国潮|休闲
46,82639,富勒烯蛋白灯泡肌面膜,明星同款|李佳琦|大牌|紧致抗衰老|护肤达人
47,82637,韩国班尼兔智趣儿童保温杯,开学季|ins|网红产品|户外|旅行
48,38723,烟友伴侣沉合香,宴会|网红产品|旅行|户外|约会
49,82626,复刻潮流,潮牌
50,80782,韩风条纹卫衣,甜美|休闲|约会
51,82626,复刻潮牌,女神必备
52,82631,ICE GINA酸奶固体饮料,方便速食|美容养颜|网红产品|吃货|进口
53,80782,压褶简约衬衣,港风|约会
54,82643,火山泥去黑头深层清洁面膜,清洁|纯天然|明星同款
55,82631,MOS小Refa莹润紧致按摩霜,明星同款|网红产品|紧致抗衰老|敏感肌|纯天然
56,82643,燕窝灌肤免洗面膜,干皮|保湿补水|纯天然
57,82643,鱼子精华熬夜睡眠面膜,纯天然|美白|保湿补水
58,82643,益生元调养面膜,祛痘控油|紧致抗衰老|美白
59,80782,仙女网纱裙,甜美|约会|日韩
60,82631,PUGEE睫毛滋养液,明星同款|女式|男式|国货之光|纯天然
61,80782,拼接设计牛仔短外套,小个子穿搭
62,82629,全母红膏大闸蟹12只礼盒装（顺丰包邮）,无辣不欢|熬夜必备|宴会|方便速食|吃货
63,80782,高腰直筒老爹牛仔裤,复古|小个子穿搭|港风
64,80782,九分垂感微喇叭裤,港风|小个子穿搭
65,80782,九分高腰直筒宽松阔腿裤,日韩|休闲
66,80782,复古洗水感高腰宽松牛仔裤,小个子穿搭|复古|港风
67,80782,复古阔腿老爹裤,复古|小个子穿搭|日韩
68,82629,咸蛋黄锅巴（净含量248克装）,吃货
69,80782,少女感白色衬衫,约会|甜美
70,80782,高弹力绑绳T恤,休闲|甜美
71,80782,复古波点衬衫,甜美|复古
72,82652,🤵男士日常搭配  情侣👫鞋搭配 安利～     ,休闲|运动
73,80782,复古宽松偏光人鱼姬衬衫,甜美|港风|ins
74,82651,官方正品 中科特膳美膳美姿纤美营养素4.5配方全国包邮5盒装膳食,营养滋补|养生达人|健美瘦身
75,80782,高腰百褶短裙半身裙,小个子穿搭|开学季
76,82651,官方正品 中科特膳美膳美姿纤美营养素4.5配方全国包邮5盒装膳食,营养滋补|养生达人|健美瘦身
77,72799,德玛润抗衰肽灌注液,美白|保湿补水|紧致抗衰老
78,5603,小ck酒神包,网红产品|ins|甜美|原创
79,82581,蔻驰翻盖邮差包,女式|ins|高端
80,80782,雪纺连衣裙,日韩|约会
81,72624,兰蔻大粉水,保湿补水|大牌|明星同款
82,82581,鳄鱼纹漆皮凯莉包,明星款|高端|大牌
83,72624,德国小甘菊护手霜,女式|平价替代|护理好物
84,82581,mcm家包包,ins|明星款|女式
85,80782,秋季垂感百搭阔腿裤,休闲|小个子穿搭
86,80782,复古泡泡袖针织开衫,复古|港风|约会|小个子穿搭
87,80782,气质显瘦西装连衣裙外套配腰包,港风|小个子穿搭|女神必备
88,80782,经典款浅杏色格纹风衣,职场OL|日韩|女神必备
89,80782,品质款小西装百褶短裙套装（可拆卖）,小个子穿搭|女神必备|日韩
90,80782,法式浪漫丝绒上衣,复古|女神必备|甜美
91,80782,复古雕花小毛球针织开衫,港风|甜美|复古|小个子穿搭
92,80782,秋冬韩版显瘦风衣外套,日韩|小个子穿搭|职场OL
93,80782,慵懒风条纹宽松针织开衫,约会|休闲|日韩
94,80782,高腰不规则百褶半身短裙,开学季|小个子穿搭
95,80782,百搭高腰阔腿牛仔裤配腰带,复古|日韩
96,80782,秋冬丝绒吊带连衣裙,约会|女神必备
97,80782,秋冬两件套针织套装,甜美|女神必备
98,80782,酷女孩皮夹克短款机车服,小个子穿搭
99,80782,系带领长袖衬衫,复古|甜美
100,82631,PUGEE冰岛地衣面膜,干皮|敏感肌|保湿补水|祛痘控油|明星同款
